num_idade;des_sexo;des_status_associado;des_segmento;des_subsegmento;des_nivel_risco;des_assoc_desde;n_de_produtos;resposta_nps
41;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;2;10
41;F;ATIVO;PF;PF II;BAIXO 1;DE 11 A 15 ANOS;8;9
44;F;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;7;10
54;F;ATIVO;PF;PF II;BAIXÍSSIMO;DE 11 A 15 ANOS;6;8
59;F;ATIVO;PF;PF I;BAIXO 2;ATÉ 12 MESES;1;10
41;M;ATIVO;PF;PF III;BAIXO 2;A PARTIR DE 15 ANOS;6;10
42;M;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;5;9
41;M;ATIVO;PF;PF II;DEFAULT;A PARTIR DE 15 ANOS;2;10
49;M;ATIVO;PF;PF III;BAIXÍSSIMO;A PARTIR DE 15 ANOS;9;10
43;M;ATIVO;AG;Familiar;MÉDIO 1;DE 3 A 5 ANOS;7;6
41;M;ATIVO;PF;PF I;BAIXO 1;DE 6 A 10 ANOS;7;10
42;M;ATIVO;PF;PF I;BAIXÍSSIMO;DE 11 A 15 ANOS;11;10
43;F;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;5;10
35;M;ATIVO;PF;PF I;MÉDIO 1;DE 3 A 5 ANOS;2;10
46;F;ATIVO;AG;Familiar;BAIXO 1;DE 6 A 10 ANOS;4;10
42;M;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;2;5
42;F;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;3;10
42;M;ATIVO;PF;PF IV;BAIXO 2;DE 3 A 5 ANOS;15;10
42;F;ATIVO;AG;Familiar;BAIXO 2;DE 1 A 2 ANOS;6;8
48;M;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;3;10
44;F;ATIVO;PF;PF II;BAIXO 2;ATÉ 12 MESES;5;10
46;F;ATIVO;PF;PF I;ALTO 1;DE 6 A 10 ANOS;3;10
44;F;INATIVO;PF;PF II;DEFAULT;A PARTIR DE 15 ANOS;2;8
38;F;INATIVO;PF;PF I;ALTÍSSIMO;DE 1 A 2 ANOS;0;5
47;F;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;4;6
33;F;ATIVO;PF;PF I;BAIXO 2;DE 1 A 2 ANOS;6;10
49;M;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;1;9
42;F;ATIVO;PF;PF IV;BAIXO 1;DE 6 A 10 ANOS;8;10
40;M;ATIVO;PF;PF II;BAIXO 1;DE 1 A 2 ANOS;7;9
36;F;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;3;9
36;M;ATIVO;PF;PF III;MÉDIO 2;ATÉ 12 MESES;5;10
40;M;ATIVO;PF;PF I;MÉDIO 1;DE 3 A 5 ANOS;8;10
61;F;ATIVO;PF;PF I;ALTÍSSIMO;ATÉ 12 MESES;0;10
43;M;ATIVO;PF;PF II;BAIXO 1;DE 11 A 15 ANOS;6;10
43;F;ATIVO;PF;PF III;BAIXÍSSIMO;DE 3 A 5 ANOS;4;10
42;F;ATIVO;PF;PF IV;ALTÍSSIMO;DE 1 A 2 ANOS;8;8
42;M;ATIVO;PF;PF II;BAIXO 2;DE 11 A 15 ANOS;9;8
65;F;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;0;10
44;F;ATIVO;PF;PF III;MÉDIO 1;DE 11 A 15 ANOS;5;9
35;M;ATIVO;PF;PF II;BAIXO 1;DE 6 A 10 ANOS;6;9
41;M;ATIVO;AG;Familiar;BAIXO 2;DE 3 A 5 ANOS;5;10
45;M;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;1;5
42;M;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;1;9
57;M;ATIVO;AG;Familiar;BAIXO 1;ATÉ 12 MESES;6;10
40;M;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;7;8
47;M;ATIVO;AG;Grande Produtor;BAIXO 1;ATÉ 12 MESES;8;10
45;F;ATIVO;PF;PF II;BAIXÍSSIMO;A PARTIR DE 15 ANOS;12;9
42;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;7;10
35;M;ATIVO;PF;PF II;BAIXO 2;DE 3 A 5 ANOS;2;10
45;F;ATIVO;PF;PF II;ALTO 1;DE 1 A 2 ANOS;3;8
56;F;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;6;10
42;M;ATIVO;PF;PF II;MÉDIO 2;DE 3 A 5 ANOS;2;10
43;M;ATIVO;AG;Familiar;BAIXO 1;DE 6 A 10 ANOS;3;0
42;M;ATIVO;PF;PF IV;BAIXÍSSIMO;A PARTIR DE 15 ANOS;8;10
55;M;ATIVO;PF;PF I;MÉDIO 2;DE 1 A 2 ANOS;2;10
49;F;ATIVO;PF;PF II;MÉDIO 2;DE 1 A 2 ANOS;3;10
45;F;ATIVO;PF;PF III;BAIXO 1;DE 3 A 5 ANOS;4;9
43;F;ATIVO;PF;PF I;BAIXO 2;DE 6 A 10 ANOS;4;10
46;F;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 3 A 5 ANOS;6;10
46;F;ATIVO;PF;PF I;ALTO 1;DE 1 A 2 ANOS;5;10
49;F;ATIVO;PF;PF II;ALTO 1;DE 6 A 10 ANOS;5;10
42;F;ATIVO;PF;PF I;BAIXO 1;DE 3 A 5 ANOS;5;10
44;F;ATIVO;PF;PF I;BAIXO 2;DE 3 A 5 ANOS;4;10
48;F;ATIVO;PF;PF I;BAIXÍSSIMO;DE 11 A 15 ANOS;9;10
43;M;ATIVO;PF;PF II;BAIXO 2;DE 3 A 5 ANOS;4;8
38;M;ATIVO;PF;PF IV;ALTO 2;DE 1 A 2 ANOS;3;5
42;F;ATIVO;PF;PF III;BAIXÍSSIMO;A PARTIR DE 15 ANOS;11;9
45;M;ATIVO;PF;PF III;;ATÉ 12 MESES;3;10
40;F;ATIVO;PF;PF III;BAIXO 2;ATÉ 12 MESES;6;10
41;M;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;5;10
59;M;ATIVO;PF;PF III;MÉDIO 1;ATÉ 12 MESES;2;10
49;M;ATIVO;PF;PF II;BAIXO 1;DE 11 A 15 ANOS;10;10
66;F;ATIVO;PF;PF III;BAIXÍSSIMO;DE 1 A 2 ANOS;8;10
42;M;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 11 A 15 ANOS;8;10
42;M;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 6 A 10 ANOS;8;5
41;M;ATIVO;PF;PF II;BAIXO 2;DE 1 A 2 ANOS;4;7
42;F;ATIVO;PF;PF I;BAIXO 1;ATÉ 12 MESES;7;10
41;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;4;6
42;F;ATIVO;AG;Familiar;BAIXO 2;A PARTIR DE 15 ANOS;2;10
46;M;ATIVO;PF;PF II;MÉDIO 2;DE 1 A 2 ANOS;1;10
66;M;ATIVO;PF;PF IV;BAIXO 1;ATÉ 12 MESES;3;10
42;F;ATIVO;PF;PF III;MÉDIO 1;ATÉ 12 MESES;3;10
33;F;ATIVO;PF;PF II;MÉDIO 2;ATÉ 12 MESES;2;9
56;F;ATIVO;PF;PF IV;ALTO 1;ATÉ 12 MESES;3;10
42;M;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;0;10
84;M;ATIVO;PF;PF IV;BAIXÍSSIMO;DE 6 A 10 ANOS;3;5
42;M;ATIVO;PF;PF I;ALTO 2;DE 3 A 5 ANOS;5;10
33;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;1;0
42;M;ATIVO;PF;PF II;BAIXO 2;DE 11 A 15 ANOS;2;10
