num_idade;des_sexo;des_status_associado;des_segmento;des_subsegmento;des_nivel_risco;des_assoc_desde;n_de_produtos;resposta_nps;classificacao_nps;faixa_idade;faixa_produtos;Assunto;Sentimento
42;M;ATIVO;PF;PF III;BAIXO 1;DE 6 A 10 ANOS;2;5;DETRATORES;36-45;1-4;Atendimento em geral;neutro
38;F;INATIVO;PF;PF I;ALTÍSSIMO;DE 1 A 2 ANOS;0;5;DETRATORES;36-45;0;Cartão de Crédito;neutro
47;F;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;4;6;DETRATORES;46-55;1-4;Crédito, Empréstimo ou Financiamento;neutro
45;M;ATIVO;PF;PF I;ALTO 2;DE 1 A 2 ANOS;1;5;DETRATORES;46-55;1-4;Cartão de Crédito;negativo
43;M;ATIVO;AG;Familiar;BAIXO 1;DE 6 A 10 ANOS;3;0;DETRATORES;36-45;1-4;Principalidade;negativo
38;M;ATIVO;PF;PF IV;ALTO 2;DE 1 A 2 ANOS;3;5;DETRATORES;36-45;1-4;Cartão de Crédito;neutro
41;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;4;6;DETRATORES;36-45;1-4;Atendimento em geral;positivo
33;M;ATIVO;PF;PF II;ALTO 2;ATÉ 12 MESES;1;0;DETRATORES;25-35;1-4;Crédito, Empréstimo ou Financiamento;neutro
43;F;ATIVO;PF;PF II;BAIXO 1;DE 3 A 5 ANOS;10;6;DETRATORES;36-45;10-14;Benefícios da Cooperativa;positivo
42;F;ATIVO;PF;PF I;ALTÍSSIMO;DE 3 A 5 ANOS;4;5;DETRATORES;36-45;1-4;Funcionamento App;negativo
43;F;ATIVO;PF;PF III;ALTO 2;DE 11 A 15 ANOS;2;1;DETRATORES;36-45;1-4;Atendimento em geral;neutro
44;M;ATIVO;AG;Familiar;BAIXO 1;DE 3 A 5 ANOS;1;0;DETRATORES;36-45;1-4;Disponibilidade contato;negativo
40;M;ATIVO;AG;Familiar;MÉDIO 1;A PARTIR DE 15 ANOS;1;5;DETRATORES;36-45;1-4;Cordialidade;negativo
33;M;ATIVO;AG;Familiar;BAIXÍSSIMO;DE 6 A 10 ANOS;10;5;DETRATORES;25-35;10-14;Benefícios da Cooperativa;positivo
39;F;ATIVO;PF;PF I;MÉDIO 2;DE 3 A 5 ANOS;1;0;DETRATORES;36-45;1-4;Outros;neutro
51;M;ATIVO;PF;PF I;ALTO 1;ATÉ 12 MESES;1;5;DETRATORES;46-55;1-4;Funcionamento App;negativo
42;M;ATIVO;PF;PF III;ALTÍSSIMO;DE 3 A 5 ANOS;1;5;DETRATORES;36-45;1-4;Funcionamento App;negativo
41;F;ATIVO;PF;PF III;ALTO 1;DE 1 A 2 ANOS;2;6;DETRATORES;36-45;1-4;Estrutura da Agência;neutro
42;F;ATIVO;AG;Familiar;ALTÍSSIMO;DE 6 A 10 ANOS;6;3;DETRATORES;36-45;5-9;Personalização e Proximidade;negativo
49;F;ATIVO;PF;PF I;MÉDIO 2;ATÉ 12 MESES;1;2;DETRATORES;46-55;1-4;Crédito, Empréstimo ou Financiamento;negativo
28;F;ATIVO;PF;PF I;MÉDIO 1;ATÉ 12 MESES;5;6;DETRATORES;25-35;5-9;Uso App;positivo
38;M;ATIVO;PF;PF I;BAIXO 2;DE 11 A 15 ANOS;5;5;DETRATORES;36-45;5-9;Crédito, Empréstimo ou Financiamento;negativo
38;M;ATIVO;PF;PF II;BAIXO 1;A PARTIR DE 15 ANOS;5;5;DETRATORES;36-45;5-9;Crédito, Empréstimo ou Financiamento;negativo
38;M;ATIVO;AG;Familiar;BAIXÍSSIMO;A PARTIR DE 15 ANOS;8;6;DETRATORES;36-45;5-9;Funcionalidades;neutro
